title,model,engine,url,topic,mode,package
Linear regression via glmnet,linear_reg,glmnet,https://parsnip.tidymodels.org/reference/details_linear_reg_glmnet.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_glmnet.html' target='_blank'><tt>linear_reg_glmnet</tt></a>,regression,parsnip
Linear regression via generalized least squares,linear_reg,gls,https://parsnip.tidymodels.org/reference/details_linear_reg_gls.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_gls.html' target='_blank'><tt>linear_reg_gls</tt></a>,regression,multilevelmod
Linear regression via h2o,linear_reg,h2o,https://parsnip.tidymodels.org/reference/details_linear_reg_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_h2o.html' target='_blank'><tt>linear_reg_h2o</tt></a>,regression,agua
Linear regression via keras/tensorflow,linear_reg,keras,https://parsnip.tidymodels.org/reference/details_linear_reg_keras.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_keras.html' target='_blank'><tt>linear_reg_keras</tt></a>,regression,parsnip
Linear regression via keras3,linear_reg,keras3,https://parsnip.tidymodels.org/reference/details_linear_reg_keras3.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_keras3.html' target='_blank'><tt>linear_reg_keras3</tt></a>,regression,parsnip
Linear regression via lm,linear_reg,lm,https://parsnip.tidymodels.org/reference/details_linear_reg_lm.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_lm.html' target='_blank'><tt>linear_reg_lm</tt></a>,regression,parsnip
Linear regression via mixed models,linear_reg,lme,https://parsnip.tidymodels.org/reference/details_linear_reg_lme.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_lme.html' target='_blank'><tt>linear_reg_lme</tt></a>,regression,multilevelmod
Linear regression via mixed models,linear_reg,lmer,https://parsnip.tidymodels.org/reference/details_linear_reg_lmer.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_lmer.html' target='_blank'><tt>linear_reg_lmer</tt></a>,regression,multilevelmod
Linear quantile regression via the quantreg package,linear_reg,quantreg,https://parsnip.tidymodels.org/reference/details_linear_reg_quantreg.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_quantreg.html' target='_blank'><tt>linear_reg_quantreg</tt></a>,quantile regression,parsnip
Linear regression via spark,linear_reg,spark,https://parsnip.tidymodels.org/reference/details_linear_reg_spark.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_spark.html' target='_blank'><tt>linear_reg_spark</tt></a>,regression,parsnip
Linear regression via Bayesian Methods,linear_reg,stan,https://parsnip.tidymodels.org/reference/details_linear_reg_stan.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_stan.html' target='_blank'><tt>linear_reg_stan</tt></a>,regression,parsnip
Linear regression via hierarchical Bayesian methods,linear_reg,stan_glmer,https://parsnip.tidymodels.org/reference/details_linear_reg_stan_glmer.html,<a href='https://parsnip.tidymodels.org/reference/details_linear_reg_stan_glmer.html' target='_blank'><tt>linear_reg_stan_glmer</tt></a>,regression,multilevelmod
Logistic regression via LiblineaR,logistic_reg,LiblineaR,https://parsnip.tidymodels.org/reference/details_logistic_reg_LiblineaR.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_LiblineaR.html' target='_blank'><tt>logistic_reg_LiblineaR</tt></a>,classification,parsnip
Logistic regression via brulee,logistic_reg,brulee,https://parsnip.tidymodels.org/reference/details_logistic_reg_brulee.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_brulee.html' target='_blank'><tt>logistic_reg_brulee</tt></a>,classification,parsnip
Logistic regression via generalized estimating equations (GEE),logistic_reg,gee,https://parsnip.tidymodels.org/reference/details_logistic_reg_gee.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_gee.html' target='_blank'><tt>logistic_reg_gee</tt></a>,classification,multilevelmod
Logistic regression via glm,logistic_reg,glm,https://parsnip.tidymodels.org/reference/details_logistic_reg_glm.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_glm.html' target='_blank'><tt>logistic_reg_glm</tt></a>,classification,parsnip
Logistic regression via mixed models,logistic_reg,glmer,https://parsnip.tidymodels.org/reference/details_logistic_reg_glmer.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_glmer.html' target='_blank'><tt>logistic_reg_glmer</tt></a>,classification,multilevelmod
Logistic regression via glmnet,logistic_reg,glmnet,https://parsnip.tidymodels.org/reference/details_logistic_reg_glmnet.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_glmnet.html' target='_blank'><tt>logistic_reg_glmnet</tt></a>,classification,parsnip
Logistic regression via h2o,logistic_reg,h2o,https://parsnip.tidymodels.org/reference/details_logistic_reg_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_h2o.html' target='_blank'><tt>logistic_reg_h2o</tt></a>,classification,agua
Logistic regression via keras,logistic_reg,keras,https://parsnip.tidymodels.org/reference/details_logistic_reg_keras.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_keras.html' target='_blank'><tt>logistic_reg_keras</tt></a>,classification,parsnip
Logistic regression via keras3,logistic_reg,keras3,https://parsnip.tidymodels.org/reference/details_logistic_reg_keras3.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_keras3.html' target='_blank'><tt>logistic_reg_keras3</tt></a>,classification,parsnip
Logistic regression via spark,logistic_reg,spark,https://parsnip.tidymodels.org/reference/details_logistic_reg_spark.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_spark.html' target='_blank'><tt>logistic_reg_spark</tt></a>,classification,parsnip
Logistic regression via stan,logistic_reg,stan,https://parsnip.tidymodels.org/reference/details_logistic_reg_stan.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_stan.html' target='_blank'><tt>logistic_reg_stan</tt></a>,classification,parsnip
Logistic regression via hierarchical Bayesian methods,logistic_reg,stan_glmer,https://parsnip.tidymodels.org/reference/details_logistic_reg_stan_glmer.html,<a href='https://parsnip.tidymodels.org/reference/details_logistic_reg_stan_glmer.html' target='_blank'><tt>logistic_reg_stan_glmer</tt></a>,classification,multilevelmod
Multivariate adaptive regression splines (MARS) via earth,mars,earth,https://parsnip.tidymodels.org/reference/details_mars_earth.html,<a href='https://parsnip.tidymodels.org/reference/details_mars_earth.html' target='_blank'><tt>mars_earth</tt></a>,classification,parsnip
Multivariate adaptive regression splines (MARS) via earth,mars,earth,https://parsnip.tidymodels.org/reference/details_mars_earth.html,<a href='https://parsnip.tidymodels.org/reference/details_mars_earth.html' target='_blank'><tt>mars_earth</tt></a>,regression,parsnip
MARS Multistep Horizon,mars_multistep,mars_multistep_horizon,https://microsoft.github.io/finnts/reference/mars_multistep.html,<a href='https://microsoft.github.io/finnts/reference/mars_multistep.html' target='_blank'><tt>mars_multistep</tt></a>,regression,parsnip
MaxEnt model,maxent,maxnet,https://evolecolgroup.github.io/tidysdm/reference/maxent.html,<a href='https://evolecolgroup.github.io/tidysdm/reference/maxent.html' target='_blank'><tt>maxent</tt></a>,classification,tidysdm
Multilayer perceptron via brulee,mlp,brulee,https://parsnip.tidymodels.org/reference/details_mlp_brulee.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_brulee.html' target='_blank'><tt>mlp_brulee</tt></a>,classification,parsnip
Multilayer perceptron via brulee,mlp,brulee,https://parsnip.tidymodels.org/reference/details_mlp_brulee.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_brulee.html' target='_blank'><tt>mlp_brulee</tt></a>,regression,parsnip
Multilayer perceptron via brulee with two hidden layers,mlp,brulee_two_layer,https://parsnip.tidymodels.org/reference/details_mlp_brulee_two_layer.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_brulee_two_layer.html' target='_blank'><tt>mlp_brulee_two_layer</tt></a>,classification,parsnip
Multilayer perceptron via brulee with two hidden layers,mlp,brulee_two_layer,https://parsnip.tidymodels.org/reference/details_mlp_brulee_two_layer.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_brulee_two_layer.html' target='_blank'><tt>mlp_brulee_two_layer</tt></a>,regression,parsnip
Multilayer perceptron via h2o,mlp,h2o,https://parsnip.tidymodels.org/reference/details_mlp_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_h2o.html' target='_blank'><tt>mlp_h2o</tt></a>,classification,agua
Multilayer perceptron via h2o,mlp,h2o,https://parsnip.tidymodels.org/reference/details_mlp_h2o.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_h2o.html' target='_blank'><tt>mlp_h2o</tt></a>,regression,agua
Multilayer perceptron via keras,mlp,keras,https://parsnip.tidymodels.org/reference/details_mlp_keras.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_keras.html' target='_blank'><tt>mlp_keras</tt></a>,classification,parsnip
Multilayer perceptron via keras,mlp,keras,https://parsnip.tidymodels.org/reference/details_mlp_keras.html,<a href='https://parsnip.tidymodels.org/reference/details_mlp_keras.html' target='_blank'><tt>mlp_keras</tt></a>,regression,parsnip
