ResponseId,Q1002,qname,dollars,priority,priority_other
R_1d67jKVzxkHxkh2,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_1,25,Survival analysis,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_3,30,Adaptive resampling and better parallelization,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_4,25,"Model monitoring, updating, & organization",NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_8,20,Post-processing in workflow(),NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_2S6QhyhvAYuUuCN,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_3,25,Adaptive resampling and better parallelization,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_6,25,Model stacking ,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_9,25,Ignore recipe steps,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_10,25,H2O.ai support ,NA
R_1LTdTZ40R8Iirbk,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_1,100,Survival analysis,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_Ce3Pu6nd4hzseHv,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_1,60,Survival analysis,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_2,10,Support for sparse data structures,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_5,30,Translate prediction equations,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_2XcicoC7EP5dB2n,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_1,0,Survival analysis,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_2,0,Support for sparse data structures,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_3,15,Adaptive resampling and better parallelization,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_4,30,"Model monitoring, updating, & organization",NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_5,0,Translate prediction equations,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_6,30,Model stacking ,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_8,20,Post-processing in workflow(),NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_9,5,Ignore recipe steps,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_10,0,H2O.ai support ,NA
R_8eJgjJUwTZwu3lv,I have contributed to tidymodels packages or taught others how to use them,Q5_12,0,Other,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_4,10,"Model monitoring, updating, & organization",NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_6,10,Model stacking ,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_9,80,Ignore recipe steps,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_3EBkWmcgGEuMoA5,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_1,100,Survival analysis,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_2,0,Support for sparse data structures,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_3,0,Adaptive resampling and better parallelization,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_4,0,"Model monitoring, updating, & organization",NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_5,0,Translate prediction equations,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_6,0,Model stacking ,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_8,0,Post-processing in workflow(),NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_9,0,Ignore recipe steps,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_10,0,H2O.ai support ,NA
R_72kXMnsd6jfZ82J,I have never used tidymodels,Q5_12,0,Other,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_1,30,Survival analysis,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_2,10,Support for sparse data structures,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_4,10,"Model monitoring, updating, & organization",NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_5,30,Translate prediction equations,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_8,20,Post-processing in workflow(),NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_3k5lMdWeK1QdEYh,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_3,10,Adaptive resampling and better parallelization,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_4,10,"Model monitoring, updating, & organization",NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_5,50,Translate prediction equations,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_6,10,Model stacking ,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_8,10,Post-processing in workflow(),NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_9,10,Ignore recipe steps,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_Q3ryRBybensDrdT,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_1,50,Survival analysis,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_4,10,"Model monitoring, updating, & organization",NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_5,30,Translate prediction equations,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_9,10,Ignore recipe steps,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_21APzI71whcGb15,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_1,0,Survival analysis,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_2,0,Support for sparse data structures,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_3,10,Adaptive resampling and better parallelization,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_4,10,"Model monitoring, updating, & organization",NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_5,20,Translate prediction equations,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_6,30,Model stacking ,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_8,30,Post-processing in workflow(),NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_9,0,Ignore recipe steps,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_10,0,H2O.ai support ,NA
R_Z1AtyOaIoLryNsB,I have used tidymodels packages many times,Q5_12,0,Other,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_1,20,Survival analysis,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_2,10,Support for sparse data structures,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_3,20,Adaptive resampling and better parallelization,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_5,10,Translate prediction equations,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_6,10,Model stacking ,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_3nCq1sJp1euRfIr,I have used tidymodels packages a few times,Q5_12,30,Other,"Linear mixed effect models, generalized additive models"
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_2,10,Support for sparse data structures,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_3,20,Adaptive resampling and better parallelization,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_5,10,Translate prediction equations,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_6,20,Model stacking ,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_9,20,Ignore recipe steps,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_3EZ16p2nMnn1181,I have used tidymodels packages a few times,Q5_12,20,Other,mixed models
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_5,100,Translate prediction equations,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_bvyaj9H2RJY4koh,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_1,25,Survival analysis,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_2,20,Support for sparse data structures,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_3,20,Adaptive resampling and better parallelization,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_4,25,"Model monitoring, updating, & organization",NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_6,5,Model stacking ,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_8,5,Post-processing in workflow(),NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_W9cNv0gOX62PwyJ,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_3,10,Adaptive resampling and better parallelization,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_4,35,"Model monitoring, updating, & organization",NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_5,15,Translate prediction equations,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_6,20,Model stacking ,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_8,15,Post-processing in workflow(),NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_9,5,Ignore recipe steps,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_31Xl4P45UYDI86E,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_1,10,Survival analysis,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_2,0,Support for sparse data structures,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_3,20,Adaptive resampling and better parallelization,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_4,20,"Model monitoring, updating, & organization",NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_5,10,Translate prediction equations,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_6,20,Model stacking ,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_8,15,Post-processing in workflow(),NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_9,0,Ignore recipe steps,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_10,5,H2O.ai support ,NA
R_22IU3eJb2zaeJdy,I have never used tidymodels,Q5_12,0,Other,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_1,25,Survival analysis,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_4,25,"Model monitoring, updating, & organization",NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_5,25,Translate prediction equations,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_6,25,Model stacking ,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_3G9ZrIt3gcbZHHD,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_1,0,Survival analysis,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_2,0,Support for sparse data structures,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_4,30,"Model monitoring, updating, & organization",NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_5,0,Translate prediction equations,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_6,0,Model stacking ,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_8,40,Post-processing in workflow(),NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_9,30,Ignore recipe steps,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_10,0,H2O.ai support ,NA
R_1K9gvTzR1sjq5Sc,I have used tidymodels packages many times,Q5_12,0,Other,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_1,10,Survival analysis,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_2,10,Support for sparse data structures,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_3,20,Adaptive resampling and better parallelization,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_5,10,Translate prediction equations,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_6,10,Model stacking ,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_8,10,Post-processing in workflow(),NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_2V8RonTawN40Mpw,I have used tidymodels packages a few times,Q5_12,30,Other,"penalized regression (ridge, lasso)"
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_3,25,Adaptive resampling and better parallelization,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_4,25,"Model monitoring, updating, & organization",NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_9,25,Ignore recipe steps,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_2urAO2QiJyvoL5S,I have used tidymodels packages a few times,Q5_12,25,Other,Mixed effects models
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_1,10,Survival analysis,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_2,10,Support for sparse data structures,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_4,15,"Model monitoring, updating, & organization",NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_5,20,Translate prediction equations,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_6,20,Model stacking ,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_8,10,Post-processing in workflow(),NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_10,15,H2O.ai support ,NA
R_bdTCC6e2Iqh6KJP,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_1,20,Survival analysis,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_2,15,Support for sparse data structures,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_3,15,Adaptive resampling and better parallelization,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_4,15,"Model monitoring, updating, & organization",NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_6,20,Model stacking ,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_8,7,Post-processing in workflow(),NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_9,8,Ignore recipe steps,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_9HnS8XDBBmTZgf7,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_1,20,Survival analysis,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_3,80,Adaptive resampling and better parallelization,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_4,0,"Model monitoring, updating, & organization",NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_6,0,Model stacking ,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_8,0,Post-processing in workflow(),NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_10,0,H2O.ai support ,NA
R_3hisVvGk5vtxrSb,I have used tidymodels packages a few times,Q5_12,0,Other,NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_1,0,Survival analysis,NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_2,0,Support for sparse data structures,NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_3,0,Adaptive resampling and better parallelization,NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_4,25,"Model monitoring, updating, & organization",NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_5,0,Translate prediction equations,NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_6,25,Model stacking ,NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_8,25,Post-processing in workflow(),NA
R_WeZK2XAO11ujlId,I have used tidymodels packages a few times,Q5_9,0,Ignore recipe steps,NA
